"journal","year","country","IF","percent_fem","lowerCI","upperCI"
"Blood",2002,"USA",11.841,32.9386065762244,31.9510027225573,33.9376505103343
"Cell",2002,"USA",28.71,26.3878326996198,24.0226405998136,28.859030827925
"Nature",2002,"USA",38.138,24.4165487977369,23.3015681350021,25.5579792271941
"Science",2002,"USA",34.661,25.1840168243954,24.0619010335549,26.3315603307007
"Blood",2003,"USA",11.841,35.3141850995928,34.3308293089659,36.3069638885557
"Cell",2003,"USA",28.71,28.6092715231788,26.3401041855379,30.9619288387982
"Nature",2003,"USA",38.138,25.047911077041,23.8769057373392,26.2468875180699
"Science",2003,"USA",34.661,24.7727272727273,23.6583489472745,25.9128926072732
"Blood",2004,"USA",11.841,35.0550882596849,34.0365818445565,36.083920646006
"Cell",2004,"USA",28.71,28.8449266113593,26.6112627468206,31.1581292118201
"Nature",2004,"USA",38.138,25.3037506603275,24.1771455982149,26.4557812377056
"Science",2004,"USA",34.661,25.109977124758,23.9867423952974,26.2588194040562
"Blood",2005,"USA",11.841,35.1005917159763,34.0823090799579,36.1291578554609
"Cell",2005,"USA",28.71,28.9427052569403,26.7910059342256,31.1676365091948
"Nature",2005,"USA",38.138,25.8950242718447,24.8408089262528,26.9706028984164
"Science",2005,"USA",34.661,27.107489815105,26.0197388248883,28.2161972831206
"Blood",2006,"USA",11.841,37.3154513693227,36.3077947982306,38.3314431149047
"Cell",2006,"USA",28.71,31.3454198473282,29.362817201075,33.380321505152
"Nature",2006,"USA",38.138,28.2163034705408,27.0979968498227,29.3551538136876
"Science",2006,"USA",34.661,24.2056792018419,23.1696494212241,25.2648458055364
"Blood",2007,"USA",11.841,37.3705679322247,36.3995787916487,38.3492568485524
"Cell",2007,"USA",28.71,30.1984469370147,28.3338374580322,32.113227109195
"Nature",2007,"USA",38.138,28.3128270400226,27.2647961571898,29.3787663877041
"Science",2007,"USA",34.661,24.4022072348253,23.3639452245318,25.4633973639748
"Blood",2008,"USA",11.841,36.5787553424372,35.6139039709193,37.551762101498
"Cell",2008,"USA",28.71,30.3030303030303,28.4593152364976,32.1954239820371
"Nature",2008,"USA",38.138,27.2958040913842,26.2314789303833,28.3799311420725
"Science",2008,"USA",34.661,25.1613971196822,24.0710530979204,26.2757742265567
"Blood",2009,"USA",11.841,36.827514510959,35.946685160132,37.714991850169
"Cell",2009,"USA",28.71,30.8461859107962,29.0014838872326,32.7377639400614
"Nature",2009,"USA",38.138,28.2834547991937,27.1865180046801,29.4000617212514
"Science",2009,"USA",34.661,27.4211099020675,26.4036735610157,28.4564770561178
"Blood",2010,"USA",11.841,38.528788413988,37.6310696189427,39.4324085597058
"Cell",2010,"USA",28.71,30.2481291847184,28.4653879706757,32.0765310885723
"Nature",2010,"USA",38.138,29.2996453900709,28.3618545243866,30.2508164042385
"Science",2010,"USA",34.661,25.8339052848319,24.8317197719377,26.8554625636496
"Blood",2011,"USA",11.841,38.97450266181,38.1733135339305,39.7801878557611
"Cell",2011,"USA",28.71,31.4522494080505,29.6469373787704,33.3005171223163
"Nature",2011,"USA",38.138,29.567131327953,28.7115536179449,30.4336316549036
